Number,Structure,Abbreviation,Label_Num,,,,,,,,,,,
2,_1_CingulateCortexArea24a,A24a_L,1,24865,1.97264752,6.1013064,11.514589,6.5666046,1,0,0,1,1,24865
2,_1_CingulateCortexArea24a,A24a_R,1001,24865,1.97264752,6.1013064,11.514589,6.5666046,1,0,0,1,1,24865
3,_2_CingulateCortexArea24a__prime__,A24aPrime_L,2,10607,0.841498984,6.1287222,9.8263226,7.3873653,2,0,0,2,2,21214
3,_2_CingulateCortexArea24a__prime__,A24aPrime_R,1002,10607,0.841498984,6.1287222,9.8263226,7.3873653,2,0,0,2,2,21214
4,_3_Cingulate_Cortex__Area_24b,A24b_L,3,23367,1.85380473,6.1108522,11.245997,7.4394045,3,0,0,3,3,70101
4,_3_Cingulate_Cortex__Area_24b,A24b_R,1003,23367,1.85380473,6.1108522,11.245997,7.4394045,3,0,0,3,3,70101
5,_4_Cingulate_Cortex__Area_24b__prime__,A29bPrime_L,4,8284,0.657205391,6.1289043,9.7132254,7.9852843,4,0,0,4,4,33136
5,_4_Cingulate_Cortex__Area_24b__prime__,A29bPrime_R,1004,8284,0.657205391,6.1289043,9.7132254,7.9852843,4,0,0,4,4,33136
6,_5_Cingulate_Cortex__Area_29a,A29a_L,5,7182,0.569778986,6.1794515,7.4962149,7.3489361,5,0,0,5,5,35910
6,_5_Cingulate_Cortex__Area_29a,A29a_R,1005,7182,0.569778986,6.1794515,7.4962149,7.3489361,5,0,0,5,5,35910
7,_6_Cingulate_Cortex__Area_29b,A29b_L,6,5206,0.413014397,6.1058517,6.7397203,7.6013803,6,0,0,6,6,31236
7,_6_Cingulate_Cortex__Area_29b,A29b_R,1006,5206,0.413014397,6.1058517,6.7397203,7.6013803,6,0,0,6,6,31236
8,_7_Cingulate_Cortex__Area_29c,A29c_L,7,25563,2.028022866,6.1518755,8.2172394,7.8645711,7,0,0,7,7,178941
8,_7_Cingulate_Cortex__Area_29c,A29c_R,1007,25563,2.028022866,6.1518755,8.2172394,7.8645711,7,0,0,7,7,178941
9,_8_Cingulate_Cortex_Area_30,A30_L,8,42255,3.352271103,6.1273112,7.4629631,8.0158415,8,0,0,8,8,338040
9,_8_Cingulate_Cortex_Area_30,A30_R,1008,42255,3.352271103,6.1273112,7.4629631,8.0158415,8,0,0,8,8,338040
10,_9_Cingulate_Cortex__Area_32,A32_L,9,32544,2.581855657,6.0927582,12.718763,6.9074125,9,0,0,9,9,292896
10,_9_Cingulate_Cortex__Area_32,A32_R,1009,32544,2.581855657,6.0927582,12.718763,6.9074125,9,0,0,9,9,292896
11,_10_Primary_Auditory_Cortex,Au1_l,10,21489,1.704814903,5.9809179,7.7709746,6.563776,10,0,0,10,10,214890
11,_10_Primary_Auditory_Cortex,Au1_R,1010,21489,1.704814903,5.9809179,7.7709746,6.563776,10,0,0,10,10,214890
12,_11_Secondary_Auditory_Cortex__Dorsal_Part,AuD_L,11,22555,1.789385273,6.1203475,7.8939571,6.9967999,11,0,0,11,11,248105
12,_11_Secondary_Auditory_Cortex__Dorsal_Part,AuD_R,1011,22555,1.789385273,6.1203475,7.8939571,6.9967999,11,0,0,11,11,248105
13,_12_Secondary_Auditory_Cortex__Ventral_Part,AuV_L,12,23763,1.885221115,6.3313417,8.1520996,6.0725036,12,0,0,12,12,285156
13,_12_Secondary_Auditory_Cortex__Ventral_Part,AuV_R,1012,23763,1.885221115,6.3313417,8.1520996,6.0725036,12,0,0,12,12,285156
14,_13_dorsolateral_orbital_cortex,DLO_L,13,9592,0.760974664,6.0882397,13.3711,5.6814384,13,0,0,13,13,124696
14,_13_dorsolateral_orbital_cortex,DLO_R,1013,9592,0.760974664,6.0882397,13.3711,5.6814384,13,0,0,13,13,124696
15,_14_frontal_cortex__area_3,Fr3_L,14,15315,1.215004897,6.1641593,12.48221,6.3083725,14,0,0,14,14,214410
